Date,Close,High,Low,Open,Volume,Ticker,Daily_Return,MA5,MA10,MA20,MA50,EMA20,RSI,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Upper_Band,Lower_Band,Volatility,Lag1,Lag2,Lag3,Target_Close,Future_Return,Target_Signal
2008-05-23,660.177978515625,668.9803515625,650.3975640190972,660.177978515625,100900.0,BAJAJFINSV,0.014884990367542095,650.1041381835937,655.4344909667968,679.7583770751953,798.2510180664062,683.9398018808424,35.10744980216438,663.3233857963551,715.3674684245926,-52.04408262823756,-66.5285251304615,14.484442502223942,743.7785667935198,615.7381873568709,0.02277322038610562,650.495361328125,635.7269287109375,648.9304809570312,48.53453063964844,-0.9264826573755524,SELL
2005-07-27,2.3102076053619385,2.3321299249349425,2.3102076053619385,2.31830184748758,145844.0,BAJFINANCE,-0.016687879370312464,2.3111178874969482,2.3283607721328736,2.2935166478157045,1.9973873615264892,2.254833370491552,54.56852489698437,2.3046869867279183,2.209055728953014,0.09563125777490411,0.11744190304622165,-0.02181064527131754,2.4515359308701905,2.1354973647612185,0.017186522329335117,2.349414348602295,2.309448719024658,2.3102076053619385,252.9517059326172,108.49306259122432,BUY
2005-07-28,252.9517059326172,252.9517059326172,252.9517059326172,252.9517059326172,0.0,BAJFINANCE,108.49306259122432,52.4461968421936,27.386928820610045,14.833175933361053,7.026434864997864,26.130725995455897,99.92751852885289,40.86576682455704,20.782585373668876,20.083181450888166,4.11058981261461,15.972591638273556,126.92784188420126,-97.26149001747916,24.25896056468661,2.3102076053619385,2.349414348602295,2.309448719024658,2.3124840259552,-0.9908580018568003,SELL
2005-07-27,31.487194061279297,31.675611970119306,30.662418994644103,31.142352509342885,961212.0,BIOCON,0.0109575798342465,31.0748046875,31.578911590576173,31.35120897293091,30.535103645324707,31.21425793442757,52.93690366697636,31.332353187980722,31.09555482313951,0.23679836484121353,0.34033245127593076,-0.10353408643471723,32.68122884114956,30.021189104712256,0.012966627542739405,31.145910263061523,31.00726127624512,31.07835578918457,188.9231414794922,4.999999273095483,BUY
2005-07-28,188.9231414794922,188.9231414794922,188.9231414794922,188.9231414794922,0.0,BIOCON,4.999999273095483,62.72837257385254,47.225808715820314,39.290196895599365,33.74886688232422,46.2341516053861,98.57418697555512,55.577089848213255,42.78648716805452,12.790602680158734,2.830386497052492,9.960216183106242,109.74033904426747,-31.15994525306874,1.1175762924658,31.487194061279297,31.145910263061523,31.00726127624512,31.8889102935791,-0.83120696573299,SELL
2005-07-27,12.737401008605955,12.899975998051392,12.36983998705033,12.36983998705033,3980448.0,BPCL,0.016070119399222094,12.48293342590332,12.295442485809327,12.536566114425659,12.976404552459718,12.537297426759428,47.743541162988045,12.46061672332227,12.600640605371,-0.14002388204873029,-0.1955282072635223,0.05550432521479201,13.281098586545909,11.792033642305409,0.012434590709472294,12.5359468460083,12.509438514709473,12.431686401367188,76.42440032958984,4.999999550768176,BUY
2005-07-28,76.42440032958984,76.42440032958984,76.42440032958984,76.42440032958984,0.0,BPCL,4.999999550768176,25.327774620056154,18.735180568695068,15.708722925186157,14.2444478225708,18.62178341750518,98.92772011920339,22.301198816594205,17.328326510868692,4.972872305725513,0.8381518953342848,4.134720410391228,44.29962721534092,-12.882181364968604,1.118308765349956,12.737401008605955,12.5359468460083,12.509438514709473,12.956522941589355,-0.8304661484327948,SELL
2005-07-27,28.87066650390625,29.268633321865096,28.46064130366048,28.81640023633653,4946081.0,CANBK,0.002932425019481766,28.571596145629883,28.413323402404785,27.48884572982788,25.546002311706545,27.59237401348761,73.70490709776023,28.168101147386807,27.203924443180483,0.9641767042063236,0.9412034897884454,0.02297321441787825,29.949945345162348,25.02774611449341,0.017319930896165854,28.786252975463867,28.882726669311523,28.72789192199707,148.41168212890625,4.140570000655368,BUY
2005-07-27,22.87404441833496,23.08782072492949,22.75893470257339,23.02204352045827,175215.0,CHOLAFIN,-0.012424787748013033,23.252265167236327,23.486379432678223,23.112811374664307,22.037874908447264,23.03262737671374,54.74804424298192,23.245806550825407,22.799491952874412,0.4463145979509946,0.5925701622365596,-0.14625556428556497,24.277240675440456,21.94838207388816,0.013550533250105332,23.16182518005371,23.34271049499512,23.515369415283203,114.37022399902344,4.000000083384844,BUY
2005-07-28,114.37022399902344,114.37022399902344,114.37022399902344,114.37022399902344,0.0,CHOLAFIN,4.000000083384844,41.45283470153809,32.56714763641357,27.72948579788208,23.935881576538087,31.731446102647993,98.23044338372719,37.26494769670202,29.58250914147804,7.682438555223982,2.0105438408340444,5.671894714389937,68.52918721361785,-13.070215617853687,0.8940701363155745,22.87404441833496,23.16182518005371,23.34271049499512,22.57804679870605,-0.8025880687363274,SELL
